1;agent0;20.10356;0;0.3607737;Goal;cell20-0
1;agent1;8.695355;0;1.990696;Goal;cell8-0
1;agent2;3.567387;0;0.3304804;Goal;cell2-0
1;agent3;21.92879;0;1.643184;Goal;cell20-0
1;agent4;9.827053;0;0.0769157;Goal;cell8-0
1;agent5;8.580606;0;0.5569998;Goal;cell8-0
1;agent6;26.77274;0;1.558381;Goal;cell26-0
1;agent7;12.94943;0;0.2595013;Goal;cell12-0
1;agent8;2.406684;0;0.8406358;Goal;cell2-0
1;agent9;4.989132;0;1.648012;Goal;cell4-0
1;agent10;1.840335;0;1.494015;Goal;cell0-0
1;agent11;9.869803;0;1.571764;Goal;cell8-0
1;agent12;5.980414;0;1.692078;Goal;cell4-0
1;agent13;19.37229;0;1.803131;Goal;cell18-0
1;agent14;23.35107;0;0.3704287;Goal;cell22-0
1;agent15;19.18905;0;0.04573284;Goal;cell18-0
1;agent16;3.719002;0;1.489589;Goal;cell2-0
1;agent17;6.094718;0;0.8670049;Goal;cell6-0
1;agent18;18.22293;0;0.2985657;Goal;cell18-0
1;agent19;14.78438;0;1.231837;Goal;cell14-0
1;agent20;11.95088;0;0.8389242;Goal;cell10-0
1;agent21;14.09936;0;1.932255;Goal;cell14-0
1;agent22;22.38489;0;0.6329495;Goal;cell22-0
1;agent23;23.00443;0;1.498698;Goal;cell22-0
1;agent24;15.69328;0;1.946795;Goal;cell14-0
1;agent25;24.40272;0;0.1986241;Goal;cell24-0
1;agent26;0.02792001;0;0.07356443;Goal;cell0-0
1;agent27;4.694598;0;0.5925577;Goal;cell4-0
1;agent28;15.89926;0;0.7051626;Goal;cell14-0
1;agent29;25.46079;0;1.668316;Goal;cell24-0
1;agent30;16.80031;0;1.526766;Goal;cell16-0
1;agent31;1.043353;0;1.918863;Goal;cell0-0
1;agent32;6.815872;0;0.07779963;Goal;cell6-0
1;agent33;8.228174;0;1.363892;Goal;cell8-0
1;agent34;25.23939;0;0.1983418;Goal;cell24-0
1;agent35;11.58455;0;1.667037;Goal;cell10-0
1;agent36;0.9421369;0;0.8101442;Goal;cell0-0
1;agent37;14.83737;0;0.359506;Goal;cell14-0
1;agent38;18.51616;0;1.125673;Goal;cell18-0
